# Source: HM Land Registry Price Paid Data. Crown copyright and database right 2026.
# Licence: Open Government Licence v3.0 (https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/)
# Compiled by Ranking Atlas, ranking-atlas.com
quarter,Old Oak Common_median,Old Oak Common_n,Old Oak Common_index,Birmingham Curzon St_median,Birmingham Curzon St_n,Birmingham Curzon St_index,Crewe_median,Crewe_n,Crewe_index,Manchester Piccadilly_median,Manchester Piccadilly_n,Manchester Piccadilly_index,Manchester Airport_median,Manchester Airport_n,Manchester Airport_index,Staffs corridor_median,Staffs corridor_n,Staffs corridor_index,Toton / East Midlands hub_median,Toton / East Midlands hub_n,Toton / East Midlands hub_index,Sheffield Midland_median,Sheffield Midland_n,Sheffield Midland_index,Leeds_median,Leeds_n,Leeds_index,england_median,england_n,england_index_2012,england_index_2013
Q4 2015,510000,388,155.7,136000,80,114.3,138000,449,116.9,145000,278,131.8,215000,359,116.1,177000,457,110.6,150000,377,113.2,104348,338,107.0,111000,354,114.6,210000,285009,120.0,117.6
Q1 2016,447161,558,136.5,150000,102,126.1,125000,513,105.9,155000,458,140.9,204000,447,110.1,162500,393,101.6,162500,367,122.6,110000,332,112.8,100000,411,103.3,207000,287565,118.3,116.0
Q2 2016,438125,346,133.8,145000,43,121.8,149000,348,126.3,158000,149,143.6,250000,298,135.0,180000,391,112.5,166500,292,125.7,122250,184,125.4,115000,278,118.7,215000,213835,122.9,120.4
Q3 2016,450000,441,137.4,165000,79,138.7,142500,408,120.8,155000,227,140.9,238500,379,128.7,185000,458,115.6,169950,393,128.3,104500,302,107.2,120000,374,123.9,219995,271328,125.7,123.2
Q4 2016,458000,437,139.8,161000,67,135.3,145000,508,122.9,197498,398,179.5,226250,344,122.1,185995,447,116.2,160000,337,120.8,104600,267,107.3,119475,368,123.4,219950,270567,125.7,123.2
Q1 2017,500000,510,152.7,171000,81,143.7,132750,400,112.5,156995,203,142.7,230500,350,124.4,199225,402,124.5,165000,285,124.5,115000,311,117.9,122000,362,126.0,217500,235107,124.3,121.8
Q2 2017,530000,380,161.8,168975,70,142.0,148500,495,125.8,135995,351,123.6,239725,364,129.4,195000,450,121.9,169975,354,128.3,118500,214,121.5,130000,516,134.2,223500,261665,127.7,125.2
Q3 2017,550000,328,167.9,188000,95,158.0,142000,449,120.3,158500,267,144.1,260000,417,140.4,200500,520,125.3,180000,357,135.8,116000,301,119.0,125000,391,129.1,230000,284518,131.4,128.9
Q4 2017,520000,292,158.8,173500,66,145.8,144500,436,122.5,166000,279,150.9,241500,394,130.4,205950,550,128.7,170000,343,128.3,91250,492,93.6,125000,392,129.1,226000,279597,129.1,126.6
Q1 2018,470000,328,143.5,172600,77,145.0,142000,368,120.3,170000,307,154.5,217500,317,117.4,206000,477,128.8,170000,373,128.3,113000,301,115.9,124000,334,128.0,225000,226256,128.6,126.1
Q2 2018,513500,332,156.8,173500,72,145.8,159000,427,134.7,180000,247,163.6,250000,328,135.0,210000,534,131.3,185000,339,139.6,124176,268,127.4,132000,370,136.3,229000,250560,130.9,128.3
Q3 2018,500000,486,152.7,190000,81,159.7,149950,427,127.1,170000,252,154.5,277400,384,149.7,213500,542,133.4,182000,373,137.4,123000,349,126.2,135000,387,139.4,237500,274629,135.7,133.1
