iso,year,burned_ha,retrieved_utc
DNK,2006,0,2026-07-30T11:28:45+00:00
DNK,2007,0,2026-07-30T11:28:45+00:00
DNK,2008,0,2026-07-30T11:28:45+00:00
DNK,2009,0,2026-07-30T11:28:45+00:00
DNK,2010,0,2026-07-30T11:28:45+00:00
DNK,2011,0,2026-07-30T11:28:45+00:00
DNK,2012,0,2026-07-30T11:28:45+00:00
DNK,2013,0,2026-07-30T11:28:45+00:00
DNK,2014,0,2026-07-30T11:28:45+00:00
DNK,2015,0,2026-07-30T11:28:45+00:00
DNK,2016,0,2026-07-30T11:28:45+00:00
DNK,2017,131,2026-07-30T11:28:45+00:00
DNK,2018,463,2026-07-30T11:28:45+00:00
DNK,2019,80,2026-07-30T11:28:45+00:00
DNK,2020,0,2026-07-30T11:28:45+00:00
DNK,2021,230,2026-07-30T11:28:45+00:00
DNK,2022,341,2026-07-30T11:28:45+00:00
DNK,2023,134,2026-07-30T11:28:45+00:00
DNK,2024,0,2026-07-30T11:28:45+00:00
DNK,2025,255,2026-07-30T11:28:45+00:00
DNK,2026,70,2026-07-30T11:28:45+00:00
ESP,2006,118368,2026-07-30T11:28:45+00:00
ESP,2007,56539,2026-07-30T11:28:45+00:00
ESP,2008,10073,2026-07-30T11:28:45+00:00
ESP,2009,88845,2026-07-30T11:28:45+00:00
ESP,2010,19770,2026-07-30T11:28:45+00:00
ESP,2011,60060,2026-07-30T11:28:45+00:00
ESP,2012,189376,2026-07-30T11:28:45+00:00
ESP,2013,37069,2026-07-30T11:28:45+00:00
ESP,2014,22001,2026-07-30T11:28:45+00:00
ESP,2015,63560,2026-07-30T11:28:45+00:00
ESP,2016,52138,2026-07-30T11:28:45+00:00
ESP,2017,130925,2026-07-30T11:28:45+00:00
ESP,2018,12060,2026-07-30T11:28:45+00:00
ESP,2019,63853,2026-07-30T11:28:45+00:00
ESP,2020,61099,2026-07-30T11:28:45+00:00
ESP,2021,82092,2026-07-30T11:28:45+00:00
ESP,2022,306555,2026-07-30T11:28:45+00:00
ESP,2023,91220,2026-07-30T11:28:45+00:00
ESP,2024,42615,2026-07-30T11:28:45+00:00
ESP,2025,393079,2026-07-30T11:28:45+00:00
ESP,2026,206768,2026-07-30T11:28:45+00:00
EST,2006,0,2026-07-30T11:28:45+00:00
EST,2007,0,2026-07-30T11:28:45+00:00
EST,2008,0,2026-07-30T11:28:45+00:00
EST,2009,0,2026-07-30T11:28:45+00:00
EST,2010,0,2026-07-30T11:28:45+00:00
EST,2011,0,2026-07-30T11:28:45+00:00
EST,2012,0,2026-07-30T11:28:45+00:00
EST,2013,0,2026-07-30T11:28:45+00:00
EST,2014,0,2026-07-30T11:28:45+00:00
EST,2015,0,2026-07-30T11:28:45+00:00
EST,2016,0,2026-07-30T11:28:45+00:00
EST,2017,0,2026-07-30T11:28:45+00:00
EST,2018,385,2026-07-30T11:28:45+00:00
EST,2019,0,2026-07-30T11:28:45+00:00
EST,2020,0,2026-07-30T11:28:45+00:00
EST,2021,0,2026-07-30T11:28:45+00:00
EST,2022,0,2026-07-30T11:28:45+00:00
EST,2023,173,2026-07-30T11:28:45+00:00
EST,2024,0,2026-07-30T11:28:45+00:00
EST,2025,0,2026-07-30T11:28:45+00:00
EST,2026,299,2026-07-30T11:28:45+00:00
FIN,2006,0,2026-07-30T11:28:45+00:00
FIN,2007,0,2026-07-30T11:28:45+00:00
FIN,2008,0,2026-07-30T11:28:45+00:00
FIN,2009,0,2026-07-30T11:28:45+00:00
FIN,2010,0,2026-07-30T11:28:45+00:00
FIN,2011,0,2026-07-30T11:28:45+00:00
FIN,2012,0,2026-07-30T11:28:45+00:00
FIN,2013,0,2026-07-30T11:28:45+00:00
FIN,2014,0,2026-07-30T11:28:45+00:00
FIN,2015,0,2026-07-30T11:28:45+00:00
FIN,2016,0,2026-07-30T11:28:45+00:00
FIN,2017,210,2026-07-30T11:28:45+00:00
FIN,2018,303,2026-07-30T11:28:45+00:00
FIN,2019,0,2026-07-30T11:28:45+00:00
FIN,2020,0,2026-07-30T11:28:45+00:00
FIN,2021,2558,2026-07-30T11:28:45+00:00
FIN,2022,160,2026-07-30T11:28:45+00:00
FIN,2023,205,2026-07-30T11:28:45+00:00
FIN,2024,124,2026-07-30T11:28:45+00:00
FIN,2025,407,2026-07-30T11:28:45+00:00
FIN,2026,66,2026-07-30T11:28:45+00:00
FRA,2006,1751,2026-07-30T11:28:45+00:00
FRA,2007,2631,2026-07-30T11:28:45+00:00
FRA,2008,1694,2026-07-30T11:28:45+00:00
FRA,2009,7974,2026-07-30T11:28:45+00:00
FRA,2010,4653,2026-07-30T11:28:45+00:00
